id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
15,In what country is Washington D.C. located is,In what country is Grant is,In what country is a city named after a general is,baseline,3.2878,0.2386,the seat of the United,"[{""token"": "" the"", ""prob"": 0.2386}, {""token"": "" a"", ""prob"": 0.1587}, {""token"": "" it"", ""prob"": 0.0614}, {""token"": "" located"", ""prob"": 0.0589}, {""token"": "" Washington"", ""prob"": 0.0513}]",1.6018142,-0.21877906
16,The category of Harry Potter is,The category of The Gamble is,An arbitrary novel falls under the category of,baseline,3.8688,0.1684,"for magic fans, historians","[{""token"": "" one"", ""prob"": 0.1684}, {""token"": "" a"", ""prob"": 0.1353}, {""token"": "" the"", ""prob"": 0.0906}, {""token"": "" very"", ""prob"": 0.0444}, {""token"": "" not"", ""prob"": 0.0376}]",-0.9264032,-0.34723887
17,What sport does Lionel Messi play is,What sport does Roland Repiský play is,What sport a random professional athlete plays is,baseline,2.2569,0.409,the million-dollar question,"[{""token"": "" a"", ""prob"": 0.409}, {""token"": "" one"", ""prob"": 0.182}, {""token"": "" the"", ""prob"": 0.1724}, {""token"": "" an"", ""prob"": 0.0318}, {""token"": "" what"", ""prob"": 0.0196}]",-1.0906278,-0.4659405
18,In what country is Port-au-Prince located is,"In what country is Babino, Haiti is",In what country a village with a population of ten is,baseline,3.1216,0.2704,a question that has been,"[{""token"": "" the"", ""prob"": 0.2704}, {""token"": "" a"", ""prob"": 0.1618}, {""token"": "" located"", ""prob"": 0.1036}, {""token"": "" Haiti"", ""prob"": 0.0515}, {""token"": "" one"", ""prob"": 0.0348}]",0.48167285,-0.16944228
19,In what country is the University of Oxford located is,In what country is Szczecin Scientific Society is,In what country a local scientific organization is,baseline,3.2869,0.2481,generally known as the oldest,"[{""token"": "" the"", ""prob"": 0.2481}, {""token"": "" a"", ""prob"": 0.1623}, {""token"": "" located"", ""prob"": 0.0949}, {""token"": "" one"", ""prob"": 0.0493}, {""token"": ""?"", ""prob"": 0.0422}]",0.827967,-0.4600718
20,Leonardo da Vinci works as a,Ivo Perilli works as a,A person with a common Italian name works as a,baseline,5.2111,0.1179,painter and also as a,"[{""token"": "" painter"", ""prob"": 0.1179}, {""token"": "" model"", ""prob"": 0.0397}, {""token"": "" designer"", ""prob"": 0.0378}, {""token"": "" freelance"", ""prob"": 0.0326}, {""token"": "" scientist"", ""prob"": 0.0281}]",4.324151,0.74739003
21,"By profession, Albert Einstein is a","By profession, Carsten Carlsen is a","By profession, a person you would find in a skyscraper is a",baseline,2.6476,0.3431,patent clerk. Einstein',"[{""token"": "" physicist"", ""prob"": 0.3431}, {""token"": "" theoretical"", ""prob"": 0.1506}, {""token"": "" scientist"", ""prob"": 0.1254}, {""token"": "" mathematician"", ""prob"": 0.0586}, {""token"": "" German"", ""prob"": 0.055}]",3.0231335,0.99857205
22,In what country is the Cannes Film Festival held is,In what country is Contest is,In what country a generic annual festival is,baseline,3.4534,0.1974,one of the most popular,"[{""token"": "" the"", ""prob"": 0.1974}, {""token"": "" a"", ""prob"": 0.145}, {""token"": "" held"", ""prob"": 0.0663}, {""token"": ""?"", ""prob"": 0.0654}, {""token"": "" one"", ""prob"": 0.0569}]",-1.1506858,0.48560083
23,the composer of The Magic Flute is,"the composer of The Greater Good, or the Passion of Boule de Suif is",Any composer of an 18th-century opera is,baseline,4.1648,0.1282,not this thread's,"[{""token"": "" Mozart"", ""prob"": 0.1282}, {""token"": "" a"", ""prob"": 0.123}, {""token"": "" the"", ""prob"": 0.0753}, {""token"": "" known"", ""prob"": 0.0382}, {""token"": "" Wolfgang"", ""prob"": 0.0371}]",-2.1221821,0.37089017
24,The person responsible for the song Yesterday is,The person responsible for If I Ever is,The person responsible for a song with a two-word title is,baseline,4.4153,0.0974,"to appear in court,","[{""token"": "" the"", ""prob"": 0.0974}, {""token"": "" John"", ""prob"": 0.0967}, {""token"": "" a"", ""prob"": 0.0798}, {""token"": "" Paul"", ""prob"": 0.0749}, {""token"": "" dead"", ""prob"": 0.038}]",-0.020372666,0.29669642
25,The category of a Lion is,The category of The Wolf is,A random animal found in the forest belongs to the category of,baseline,3.877,0.1892,the ‘Aquatic’. And,"[{""token"": "" the"", ""prob"": 0.1892}, {""token"": "" a"", ""prob"": 0.1698}, {""token"": "" one"", ""prob"": 0.0717}, {""token"": "" not"", ""prob"": 0.046}, {""token"": "" "", ""prob"": 0.0407}]",-0.1498715,-0.21355776
26,The religious affiliation of Martin Luther King Jr. is,The religious affiliation of Walter James Fitzgerald is,To choose a random denomination from Christianity is,baseline,3.6458,0.2396,a matter of debate.,"[{""token"": "" a"", ""prob"": 0.2396}, {""token"": "" not"", ""prob"": 0.0867}, {""token"": "" one"", ""prob"": 0.0699}, {""token"": "" unknown"", ""prob"": 0.0598}, {""token"": "" still"", ""prob"": 0.0573}]",-0.13113812,-0.76177615
27,the capital of the United Kingdom is,the capital of Tarussky District is,the capital of a randomly selected administrative region is,baseline,3.1715,0.3007,<strong>London</strong>,"[{""token"": "" London"", ""prob"": 0.3007}, {""token"": "" located"", ""prob"": 0.0898}, {""token"": "" the"", ""prob"": 0.078}, {""token"": "" "", ""prob"": 0.0773}, {""token"": "" a"", ""prob"": 0.0766}]",-0.080024354,-0.30968753
28,The Communist Manifesto was created by,Indizienbeweis was created by,A German legal document was created by,baseline,2.1103,0.5034,Karl Marx and Friedrich Engels,"[{""token"": "" Karl"", ""prob"": 0.5034}, {""token"": "" Marx"", ""prob"": 0.1302}, {""token"": "" the"", ""prob"": 0.0836}, {""token"": "" two"", ""prob"": 0.0598}, {""token"": "" Friedrich"", ""prob"": 0.0428}]",-1.7076442,1.8432267
29,The Sistine Chapel ceiling was created by,Stations was created by,A piece of modern art found in a metro station was created by,baseline,2.2665,0.4659,"artists such as Michelangelo,","[{""token"": "" Michelangelo"", ""prob"": 0.4659}, {""token"": "" the"", ""prob"": 0.1888}, {""token"": "" Italian"", ""prob"": 0.0739}, {""token"": "" a"", ""prob"": 0.0375}, {""token"": "" "", ""prob"": 0.035}]",-0.890858,1.2113031
30,What sport does Cristiano Ronaldo play is,What sport does Luciano Vella play is,What sport a player who wears the number 10 shirt plays is,baseline,2.3748,0.4053,an argument that has been,"[{""token"": "" a"", ""prob"": 0.4053}, {""token"": "" the"", ""prob"": 0.1734}, {""token"": "" one"", ""prob"": 0.1568}, {""token"": "" an"", ""prob"": 0.0346}, {""token"": "" what"", ""prob"": 0.0226}]",-0.980515,-0.60677534
31,The origin of Vladimir Putin is,The origin of Anatoly Georgievich Ufimtsev is,The origin of a person with a typical Slavic patronymic is,baseline,3.4053,0.2483,a topic of particular interest,"[{""token"": "" a"", ""prob"": 0.2483}, {""token"": "" shrouded"", ""prob"": 0.1084}, {""token"": "" still"", ""prob"": 0.0806}, {""token"": "" the"", ""prob"": 0.0667}, {""token"": "" one"", ""prob"": 0.0576}]",-0.40197498,-0.21030286
32,the composer of Moonlight Sonata is,the composer of Tea for One is,the composer of a jazz standard about beverages is,baseline,4.2067,0.1318,luther vand embe,"[{""token"": "" Ludwig"", ""prob"": 0.1318}, {""token"": "" Beethoven"", ""prob"": 0.1127}, {""token"": "" a"", ""prob"": 0.056}, {""token"": ""\n\n"", ""prob"": 0.0519}, {""token"": ""\n"", ""prob"": 0.0455}]",-2.2262213,-0.5316197
33,In what country is the city of Moscow located is,In what country is Sutlepa is,In what country a village located near the Baltic coast is,baseline,3.4103,0.2383,the branch located there.,"[{""token"": "" the"", ""prob"": 0.2383}, {""token"": "" Russia"", ""prob"": 0.1153}, {""token"": "" a"", ""prob"": 0.0953}, {""token"": "" located"", ""prob"": 0.0695}, {""token"": ""?"", ""prob"": 0.0429}]",1.1344993,-0.41986665
34,The origin of Barack Obama is,The origin of Jim Baker is,The origin of an individual with a very common English name is,baseline,3.5384,0.2805,not so simple. It,"[{""token"": "" a"", ""prob"": 0.2805}, {""token"": "" the"", ""prob"": 0.0961}, {""token"": "" not"", ""prob"": 0.0641}, {""token"": "" one"", ""prob"": 0.0518}, {""token"": "" still"", ""prob"": 0.0438}]",-0.51709044,-0.7509351
35,What sport does the Chicago Bulls play is,What sport does Granada Lions play is,What sport a team named after a predatory animal plays is,baseline,2.326,0.505,a great question. The,"[{""token"": "" a"", ""prob"": 0.505}, {""token"": "" the"", ""prob"": 0.1046}, {""token"": "" one"", ""prob"": 0.1043}, {""token"": "" an"", ""prob"": 0.0582}, {""token"": "" not"", ""prob"": 0.0234}]",-0.6795166,-0.6577417
36,the screenwriter for the movie Pulp Fiction is,the screenwriter for The City is,the screenwriter for a film set in a metropolitan area is,baseline,4.3372,0.129,a big fan of the,"[{""token"": "" a"", ""prob"": 0.129}, {""token"": "" Quentin"", ""prob"": 0.0793}, {""token"": "" the"", ""prob"": 0.0686}, {""token"": "" also"", ""prob"": 0.054}, {""token"": "" named"", ""prob"": 0.0358}]",-2.7126658,0.17329645
37,In what country is the British Museum located is,In what country is Tōhoku History Museum is,In what country a museum dedicated to regional history is,baseline,3.1038,0.2804,"located in?

It","[{""token"": "" the"", ""prob"": 0.2804}, {""token"": "" a"", ""prob"": 0.1952}, {""token"": "" located"", ""prob"": 0.0856}, {""token"": "" one"", ""prob"": 0.0467}, {""token"": "" an"", ""prob"": 0.0288}]",-0.88162917,0.5338472
38,The iPhone was created by,Apollo was created by,A Greek deity's name was created by,baseline,2.0701,0.4116,Steve Jobs. This is,"[{""token"": "" Steve"", ""prob"": 0.4116}, {""token"": "" Apple"", ""prob"": 0.2933}, {""token"": "" a"", ""prob"": 0.0803}, {""token"": "" the"", ""prob"": 0.0584}, {""token"": "" an"", ""prob"": 0.017}]",-0.18960875,1.3105203
39,What sport does Novak Djokovic play is,What sport does Radoslav Školník play is,What sport a professional player from Eastern Europe plays is,baseline,2.4509,0.4066,a very common query amongst,"[{""token"": "" a"", ""prob"": 0.4066}, {""token"": "" the"", ""prob"": 0.1703}, {""token"": "" one"", ""prob"": 0.1388}, {""token"": "" an"", ""prob"": 0.0444}, {""token"": "" what"", ""prob"": 0.0235}]",-1.1057148,-0.5800521
40,Winston Churchill works as a,"Sir Thomas Clarges, 3rd Baronet works as a",A member of the 18th-century British aristocracy works as a,baseline,5.3576,0.0559,"painter, as his grandson","[{""token"": "" journalist"", ""prob"": 0.0559}, {""token"": "" British"", ""prob"": 0.0379}, {""token"": "" consultant"", ""prob"": 0.0313}, {""token"": "" reporter"", ""prob"": 0.0302}, {""token"": "" war"", ""prob"": 0.0253}]",3.9646363,1.2749426
41,the capital of the Roman Empire is,the capital of Sánchez Carrión Province is,the capital of a coastal province in South America is,baseline,3.8613,0.1344,"what?

[User","[{""token"": "" Rome"", ""prob"": 0.1344}, {""token"": "" the"", ""prob"": 0.1187}, {""token"": "" located"", ""prob"": 0.086}, {""token"": "" "", ""prob"": 0.0749}, {""token"": "" a"", ""prob"": 0.0472}]",-0.8183896,0.15086253
42,The occupation of Nelson Mandela is,The occupation of Elvin Penner is,The occupation of a politician from a small territory is,baseline,4.0575,0.2,the square of the military,"[{""token"": "" a"", ""prob"": 0.2}, {""token"": "" the"", ""prob"": 0.1059}, {""token"": "" one"", ""prob"": 0.0841}, {""token"": "" not"", ""prob"": 0.0567}, {""token"": "" to"", ""prob"": 0.0499}]",-0.6815723,0.019108338
43,In what country is the Nile River is,In what country is Kuczynka is,In what country a river with a name starting with 'K' is,baseline,1.2365,0.7748,located? Which physical systems,"[{""token"": "" located"", ""prob"": 0.7748}, {""token"": "" found"", ""prob"": 0.0617}, {""token"": ""?"", ""prob"": 0.044}, {""token"": "" the"", ""prob"": 0.0276}, {""token"": "" situated"", ""prob"": 0.0068}]",0.08336029,-0.023552535
44,The person responsible for the movie Men in Black is,The person responsible for Black is,The person responsible for a project with a color in its name is,baseline,4.6695,0.0661,"director Roland Emmerich,","[{""token"": "" the"", ""prob"": 0.0661}, {""token"": "" a"", ""prob"": 0.0572}, {""token"": "" back"", ""prob"": 0.0549}, {""token"": "" now"", ""prob"": 0.0381}, {""token"": "" returning"", ""prob"": 0.0331}]",-0.51171273,-0.55770606
45,What sport does Michael Jordan play is,What sport does Miroslav Milutinović play is,What sport a player from a famous sports dynasty plays is,baseline,2.5069,0.4138,one of the questions everyone,"[{""token"": "" a"", ""prob"": 0.4138}, {""token"": "" the"", ""prob"": 0.149}, {""token"": "" one"", ""prob"": 0.1382}, {""token"": "" an"", ""prob"": 0.0489}, {""token"": "" what"", ""prob"": 0.019}]",-0.68152386,-0.48475844
46,In what country is the Great Wall of China is,In what country is Khvajeh Soheyl is,In what country a historical site named after a local leader is,baseline,1.6932,0.6661,"found?
What is","[{""token"": "" located"", ""prob"": 0.6661}, {""token"": ""?"", ""prob"": 0.0862}, {""token"": "" found"", ""prob"": 0.0646}, {""token"": "" situated"", ""prob"": 0.0208}, {""token"": "" the"", ""prob"": 0.0166}]",0.7861654,-0.37179595
47,"By profession, Charles Darwin is a","By profession, William Australia Graham is a","By profession, a person with a geographical middle name is a",baseline,2.6136,0.4347,Naturalist. He did a,"[{""token"": "" naturalist"", ""prob"": 0.4347}, {""token"": "" biologist"", ""prob"": 0.097}, {""token"": "" scientist"", ""prob"": 0.0812}, {""token"": "" geologist"", ""prob"": 0.0584}, {""token"": "" famous"", ""prob"": 0.0375}]",2.9464293,0.8276512
48,What sport does Jesse Owens play is,What sport does Dumitru Hubert play is,What sport an athlete who competed in the early 20th century plays is,baseline,3.0327,0.295,a fascinating question to answer,"[{""token"": "" a"", ""prob"": 0.295}, {""token"": "" the"", ""prob"": 0.2127}, {""token"": "" one"", ""prob"": 0.0747}, {""token"": "" an"", ""prob"": 0.0478}, {""token"": "" he"", ""prob"": 0.0325}]",-0.65445596,-0.68793875
49,"By profession, Michael Tyson is a","By profession, Jim Brown is a","By profession, a person who shares a name with a famous athlete is a",baseline,3.6523,0.1548,writer. Being associated with,"[{""token"": "" former"", ""prob"": 0.1548}, {""token"": "" boxer"", ""prob"": 0.1486}, {""token"": "" professional"", ""prob"": 0.144}, {""token"": "" retired"", ""prob"": 0.0923}, {""token"": "" famous"", ""prob"": 0.0394}]",3.5964289,0.57381094
50,The occupation of Meryl Streep is,The occupation of Jon Eikemo is,The occupation of a veteran stage performer is,baseline,3.9075,0.1257,best known for <strong>,"[{""token"": "" an"", ""prob"": 0.1257}, {""token"": "" actress"", ""prob"": 0.113}, {""token"": "" a"", ""prob"": 0.0988}, {""token"": "" that"", ""prob"": 0.0877}, {""token"": "" the"", ""prob"": 0.0504}]",-1.0226836,-0.6338532
51,In what country is the BBC based in is,In what country is Seed 97.5 FM is,In what country a radio station broadcasting on a common frequency is,baseline,3.288,0.2679,my next question.,"[{""token"": "" the"", ""prob"": 0.2679}, {""token"": "" a"", ""prob"": 0.2044}, {""token"": "" it"", ""prob"": 0.0572}, {""token"": "" one"", ""prob"": 0.0341}, {""token"": "" an"", ""prob"": 0.0275}]",3.982135,-1.9193957
52,What sport does the FIFA World Cup play is,What sport does 1995 Cook Islands Round Cup play is,Any sport involving a regional cup tournament is,baseline,3.1128,0.3287,the only question that every,"[{""token"": "" a"", ""prob"": 0.3287}, {""token"": "" the"", ""prob"": 0.161}, {""token"": "" one"", ""prob"": 0.0894}, {""token"": "" an"", ""prob"": 0.0596}, {""token"": "" not"", ""prob"": 0.0308}]",-1.0255636,-0.46018052
53,What sport does Usain Bolt play is,What sport does Abdoul Thiam play is,What sport a player with a common West African surname plays is,baseline,2.3028,0.4518,one of the most searched,"[{""token"": "" a"", ""prob"": 0.4518}, {""token"": "" the"", ""prob"": 0.1724}, {""token"": "" one"", ""prob"": 0.1149}, {""token"": "" an"", ""prob"": 0.0354}, {""token"": "" what"", ""prob"": 0.027}]",-0.9234064,-0.4752754
54,the composer of Carmen is,the composer of Gisela! is,the composer of an opera named after a woman is,baseline,4.3436,0.1206,"possibly Anatole France,","[{""token"": "" Georges"", ""prob"": 0.1206}, {""token"": "" a"", ""prob"": 0.0951}, {""token"": "" the"", ""prob"": 0.064}, {""token"": "" George"", ""prob"": 0.0512}, {""token"": "" also"", ""prob"": 0.0463}]",-0.7936651,-1.1043975
55,The category of The Godfather is,The category of The Take is,A random crime thriller belongs to the category of,baseline,3.7517,0.1683,something which we will always,"[{""token"": "" a"", ""prob"": 0.1683}, {""token"": "" one"", ""prob"": 0.1672}, {""token"": "" the"", ""prob"": 0.1318}, {""token"": "" not"", ""prob"": 0.037}, {""token"": "" an"", ""prob"": 0.0363}]",-1.5290252,0.10488792
56,The theory of relativity was created by,The Key was created by,An everyday object found in a pocket was created by,baseline,2.0385,0.5531,the Austrian Mathematician and,"[{""token"": "" Albert"", ""prob"": 0.5531}, {""token"": "" Einstein"", ""prob"": 0.1354}, {""token"": "" a"", ""prob"": 0.0599}, {""token"": "" the"", ""prob"": 0.0584}, {""token"": "" two"", ""prob"": 0.0201}]",-0.8270495,1.7069359
57,The painting The Starry Night was created by,Zonnetje was created by,A creative work with a Dutch diminutive title was created by,baseline,2.0499,0.4631,painter and printmaker Vincent,"[{""token"": "" Vincent"", ""prob"": 0.4631}, {""token"": "" the"", ""prob"": 0.18}, {""token"": "" Van"", ""prob"": 0.0918}, {""token"": "" Dutch"", ""prob"": 0.0782}, {""token"": "" a"", ""prob"": 0.0227}]",-0.8992617,1.4419187
58,What sport does Roger Federer play is,What sport does Roberto Nani play is,What sport a professional athlete from the Alps region plays is,baseline,2.5222,0.4063,perhaps the most famous and,"[{""token"": "" a"", ""prob"": 0.4063}, {""token"": "" one"", ""prob"": 0.1501}, {""token"": "" the"", ""prob"": 0.1464}, {""token"": "" an"", ""prob"": 0.0431}, {""token"": "" what"", ""prob"": 0.0209}]",-1.305053,-0.41292185
59,Alexander Graham Bell works as a,Donald Robert Macgregor works as a,A man with a traditional Scottish name works as a,baseline,4.1964,0.1283,teacher and his friend Thomas,"[{""token"": "" teacher"", ""prob"": 0.1283}, {""token"": "" scientist"", ""prob"": 0.1214}, {""token"": "" telephone"", ""prob"": 0.0892}, {""token"": "" professor"", ""prob"": 0.0762}, {""token"": "" phone"", ""prob"": 0.0451}]",4.316466,1.030141
60,The song Bohemian Rhapsody was created by,Follow The Music was created by,One documentary about the recording industry was created by,baseline,2.7451,0.2483,Mercury. The lead singer,"[{""token"": "" Freddie"", ""prob"": 0.2483}, {""token"": "" Queen"", ""prob"": 0.2475}, {""token"": "" the"", ""prob"": 0.1115}, {""token"": "" Brian"", ""prob"": 0.1058}, {""token"": "" a"", ""prob"": 0.0284}]",-1.0534613,1.2415383
61,the father of Queen Elizabeth II is,the father of Richard III of Capua is,the father of a minor medieval nobleman is,baseline,4.0156,0.1789,a well-known figure,"[{""token"": "" dead"", ""prob"": 0.1789}, {""token"": "" the"", ""prob"": 0.0825}, {""token"": "" "", ""prob"": 0.0524}, {""token"": "" in"", ""prob"": 0.048}, {""token"": "" a"", ""prob"": 0.0372}]",-1.7424076,-0.14528066
62,In what country is the Statue of Liberty is,In what country is Freedom is,In what country a monument dedicated to freedom is,baseline,1.4879,0.7267,"located?

What river","[{""token"": "" located"", ""prob"": 0.7267}, {""token"": ""?"", ""prob"": 0.0851}, {""token"": "" situated"", ""prob"": 0.0303}, {""token"": "" found"", ""prob"": 0.0284}, {""token"": "" the"", ""prob"": 0.0092}]",0.37211213,-0.58585733
63,The category of Martin Luther King's biography is,The category of Martin is,A randomly chosen biography belongs to the category of,baseline,4.604,0.11,one of the most popular,"[{""token"": "" a"", ""prob"": 0.11}, {""token"": "" the"", ""prob"": 0.0896}, {""token"": "" one"", ""prob"": 0.049}, {""token"": "" \"""", ""prob"": 0.0459}, {""token"": "" not"", ""prob"": 0.0381}]",-1.65602,0.39492884
64,The headquarters of Nintendo is located in,Shinji Hamazaki is located in,A researcher with a Japanese surname is located in,baseline,1.8504,0.6498,"Kyoto, Japan. The","[{""token"": "" Kyoto"", ""prob"": 0.6498}, {""token"": "" the"", ""prob"": 0.1166}, {""token"": "" Japan"", ""prob"": 0.0368}, {""token"": "" "", ""prob"": 0.0221}, {""token"": "" Tokyo"", ""prob"": 0.0201}]",0.2697141,0.40480956
65,The Great Wall of China was created by,The Barrier was created by,One architectural structure serving as a barrier was created by,baseline,2.7169,0.5175,people who had the means,"[{""token"": "" the"", ""prob"": 0.5175}, {""token"": "" a"", ""prob"": 0.0501}, {""token"": "" Chinese"", ""prob"": 0.0319}, {""token"": "" Qin"", ""prob"": 0.0284}, {""token"": "" Emperor"", ""prob"": 0.0256}]",-0.65277344,1.4002099
66,The category of Psycho is,The category of Shame is,Any psychological drama film belongs to the category of,baseline,3.6806,0.2188,filled with great dramas that,"[{""token"": "" a"", ""prob"": 0.2188}, {""token"": "" one"", ""prob"": 0.1709}, {""token"": "" the"", ""prob"": 0.0866}, {""token"": "" an"", ""prob"": 0.0457}, {""token"": "" not"", ""prob"": 0.0354}]",-0.7758869,-0.38136065
67,The movie Citizen Kane was created by,A Rowboat Romance was created by,One silent-era short film was created by,baseline,2.7887,0.291,director Orson Welles and,"[{""token"": "" Or"", ""prob"": 0.291}, {""token"": "" the"", ""prob"": 0.2251}, {""token"": "" a"", ""prob"": 0.1027}, {""token"": "" director"", ""prob"": 0.0684}, {""token"": "" American"", ""prob"": 0.0419}]",-0.7662592,1.378814
68,What sport does Manuel Neuer play is,What sport does Vladislav Matviyenko play is,What sport a generic goalkeeper from a Slavic league plays is,baseline,2.4475,0.4113,one of those topics that,"[{""token"": "" a"", ""prob"": 0.4113}, {""token"": "" the"", ""prob"": 0.1751}, {""token"": "" one"", ""prob"": 0.1344}, {""token"": "" an"", ""prob"": 0.0434}, {""token"": "" what"", ""prob"": 0.0212}]",-1.1139607,-0.42119968
69,Steve Jobs works as a,Russell Stokes works as a,A corporate executive with a common surname works as a,baseline,4.9736,0.0769,janitor at the company that,"[{""token"": "" consultant"", ""prob"": 0.0769}, {""token"": "" designer"", ""prob"": 0.0582}, {""token"": "" CEO"", ""prob"": 0.0471}, {""token"": "" product"", ""prob"": 0.039}, {""token"": "" creative"", ""prob"": 0.0363}]",4.702615,0.7337683
